Location,Date
"Aurora, Colorado, United States, 80013", 2014-12-27 14:19:59.810168+00:00
"Penzberg, Bavaria, Germany, 82377", 2014-12-28 14:26:06.976502+00:00
"Astoria, New York, United States, 11105", 2014-12-28 18:51:08.212729+00:00
"Westfield, MA, United States, 01085", 2015-01-08 13:38:40.988498+00:00
"Kensington, MD, USA, ", 2015-01-09 12:27:07.317326+00:00
"Milltown, NJ, United States, ", 2014-12-26 23:34:13.377083+00:00
"Brisbane, QLD, Australia, 4000", 2015-01-08 04:02:39.854552+00:00
"San Jose, CA, United States, 95124", 2015-01-08 07:58:47.560853+00:00
"Little Rock, Arkansas, United States, 72206", 2015-01-08 15:17:12.535168+00:00
"Birmingham, Alabama, United States, 35226", 2015-01-08 14:44:14.212103+00:00
"Gresham, OR, United States, ", 2015-01-08 15:46:31.478833+00:00
"Halifax, NS, Canada, B3K1E9", 2014-12-28 18:20:25.253308+00:00
"Fort Belvoir, Virginia, United States, 22060", 2014-12-27 02:09:10.523292+00:00
"Market Bosworth, Leicestershire, United Kingdom, CV13 0ND", 2014-12-27 16:53:08.130774+00:00
"Pueblo, CO, United States, 81004", 2015-01-08 04:45:45.814026+00:00
"Fleming Island, FL 32003, USA, FL, United States, 32003", 2015-01-08 12:09:30.892929+00:00
"Pittsburgh, PA, USA, 15227", 2015-01-08 14:54:15.714845+00:00
"Carlsbad, Ca, USA, 92008", 2015-01-08 15:18:20.746207+00:00
"Melbourne, VIC, Australia, 3067", 2014-12-29 05:54:05.661287+00:00
"Kristiansund, Møre og Romsdal, Norge, ", 2014-12-29 16:20:40.760894+00:00
"Redwood City, CA, United States, ", 2014-12-29 19:23:56.134340+00:00
"Eugene, OR, United States, ", 2014-12-29 17:16:28.108360+00:00
"Baltimore, Maryland, USA, 21211", 2015-01-08 14:57:36.485449+00:00
"NA, NJ, USA, ", 2015-01-08 15:31:17.994132+00:00
"Portland, OR, United States, ", 2014-12-29 18:35:52.524097+00:00
"Knoxville, TN, United States, 37917", 2014-12-29 19:11:36.790373+00:00
"Portland, OR, USA, 97202", 2014-12-29 19:32:17.537936+00:00
"Portland, OR, United States, 97211", 2014-12-29 19:46:29.298585+00:00
"Denver, CO, United States, 80022", 2014-12-30 04:32:47.242901+00:00
"Baton Rouge, LA, United States, ", 2015-01-08 17:34:32.523612+00:00
"Windcrest, TX, usa, 78239", 2015-01-08 15:07:39.863368+00:00
"NA, Indiana, United States, 47546", 2015-01-08 15:38:51.659445+00:00
"Walnut Creek, CA, United States, 94598", 2015-01-08 04:57:06.999940+00:00
"Portland, OR, United States, 97006", 2014-12-29 20:11:13.926638+00:00
"Washington, District of Columbia, United States, ", 2014-12-29 21:24:36.336402+00:00
"Noblesville, IN, United States, ", 2015-01-08 12:15:54.870372+00:00
"Mohnton, PA, USA, 19540", 2015-01-08 15:16:20.583793+00:00
"NA, NA, United Kingdom, NG32", 2014-12-30 07:56:18.824100+00:00
"Ankara, Ankara, Türkiye, ", 2014-12-30 12:21:08.250160+00:00
"Lake Oswego, OR, United States, 97034", 2014-12-30 15:28:04.393685+00:00
"Federal Way, WA, United States, ", 2014-12-30 17:11:12.982144+00:00
"Auckland, Auckland, New Zealand, 1011 ", 2014-12-31 08:18:45.585081+00:00
"Chicago, Illinois, United States, 60630", 2015-01-08 05:04:46.150012+00:00
"Oak Hill, VA, USA, 20171", 2015-01-08 12:29:57.597448+00:00
"Portland, OR, United States, 97229", 2014-12-30 16:26:59.498862+00:00
"Seattle, Washington, United States, ", 2014-12-30 18:00:02.677235+00:00
"Westbrook, ME, United States, 04092", 2014-12-30 22:11:01.493012+00:00
"Overland Park, Kansas, United States, 66213", 2015-01-08 05:06:59.294156+00:00
"Overland Park, KS, US, 66221", 2014-12-31 14:58:55.216456+00:00
"Portland, OR, United States, 97239", 2014-12-31 17:11:51.108015+00:00
"Pensacola, Florida, United States, 32514", 2015-01-08 12:31:28.561660+00:00
"Denver, Colorado, United States, 80211", 2015-01-09 17:01:45.696075+00:00
"Dalton, GA, United States, 30720", 2014-12-31 15:14:53.414006+00:00
