
"Stormville, NY, United States, 12582", 2015-01-09 14:19:09.622960+00:00
"Seattle, WA, United States, 98107", 2015-10-02 11:19:42.139564+00:00
"Curitiba, Paraná, República Federativa do Brasil, 80320-050", 2015-01-09 09:55:31.026795+00:00
"Fredericton, NB, Canada, E3A 1L1", 2015-01-09 23:39:40.065671+00:00
"Barrie, ON, Canada, L4N 7T4", 2015-01-09 14:16:39.428458+00:00
"Carlsbad, CA, United States, 92009", 2015-01-09 21:04:14.017083+00:00
"Seattle, Washington, United States, ", 2015-01-10 01:18:04.487955+00:00
"New Port Richey, FL, United States, 34655", 2015-01-11 00:09:34.100409+00:00
"Potomac, Maryland, United States, 20854", 2015-01-09 15:58:19.264252+00:00
"Upland, CA, United States, ", 2015-01-09 16:00:18.151982+00:00
"Brevard, North Carolina, United States, 28712", 2015-01-09 15:58:38.789550+00:00
"Charleston, SC, USA, 29445", 2015-01-09 16:04:31.334619+00:00
"Bonsall, CA, United States, 92003", 2015-01-09 21:11:55.698775+00:00
"Chicago , IL, United States, ", 2015-01-11 00:40:46.486669+00:00
"Bethlehem, NY, United States, 12054", 2015-09-11 01:01:48.135908+00:00
"Akron, OH, United States, ", 2015-01-09 16:06:32.859190+00:00
"Rockwood, PA, United States, 15557", 2015-01-09 16:07:32.589049+00:00
"Toronto, ON, Canada, ", 2015-01-09 16:11:40.154220+00:00
"New Orleans, LA, USA, 70124", 2015-05-24 23:04:36.216676+00:00
"Virginia Beach, Virginia, United States, 23454", 2015-01-09 16:14:07.834644+00:00
"Austin, Texas, United States, 78745", 2015-01-11 18:57:54.772695+00:00
"Philadelphia, PA, United States, 19104", 2015-01-11 00:41:02.679911+00:00
"Tampa, FL, United States, 33624", 2015-01-09 16:15:24.100962+00:00
"Chagrin Falls, OH, United States, 44023", 2015-01-09 16:30:31.810219+00:00
"Philadelphia, Pennsylvania, United States, 19010", 2015-01-09 16:22:29.096174+00:00
"Wilkes Barre, PA, United States, None", 2015-01-09 16:33:27.859512+00:00
"Baltimore, MD, United States, 21209", 2015-01-09 16:36:55.198181+00:00
"Canton, MI, USA, 48187", 2015-01-09 16:38:10.314632+00:00
"Carlisle, Pennsylvania, United States, 17013", 2015-01-11 00:51:24.329607+00:00
"ROCKPORT, TX, United States, 78382", 2015-01-09 16:38:44.990708+00:00
